x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.7,2013-06-07 00:00:00,QC,2013,6,7,9.5,,0,,18.9,,0,,0,,0,,,,6,,33,,0,,8.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.8,2013-06-08 00:00:00,QC,2013,6,8,8.4,,4.8,,12,,2.8,,2.8,,0,,,,0,,0,,0,,9.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.9,2013-06-09 00:00:00,QC,2013,6,9,13,,7.8,,18.1,,1.4,,1.4,,0,,,,0,,0,,0,,5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.10,2013-06-10 00:00:00,QC,2013,6,10,13.5,,5.8,,21.1,,0,,0,,0,,,,9,,41,,0,,4.5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.11,2013-06-11 00:00:00,QC,2013,6,11,14.8,,6.4,,23.2,,0,,0,,0,,,,0,,0,,0,,3.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.12,2013-06-12 00:00:00,QC,2013,6,12,10.3,,2.5,,18.1,,0,,0,,0,,,,0,,0,,0,,7.7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.13,2013-06-13 00:00:00,QC,2013,6,13,10.7,,1,,20.4,,0,,0,,0,,,,7,,33,,0,,7.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.14,2013-06-14 00:00:00,QC,2013,6,14,12,,5.4,,18.5,,0,,0,,0,,,,6,,39,,0,,6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.15,2013-06-15 00:00:00,QC,2013,6,15,11.6,,6.9,,16.3,,3,,3,,0,,,,0,,0,,0,,6.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.16,2013-06-16 00:00:00,QC,2013,6,16,11.9,,4.2,,19.5,,0,T,0,T,0,,,,28,,54,,0,,6.1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.17,2013-06-17 00:00:00,QC,2013,6,17,11.9,,8.5,,15.3,,2.6,,2.6,,0,,,,0,,0,,0,,6.1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.19,2013-06-19 00:00:00,QC,2013,6,19,11,,3.3,,18.6,,0.2,,0.2,,0,,,,0,,0,,0,,7,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.20,2013-06-20 00:00:00,QC,2013,6,20,13,,4.9,,21,,0,,0,,0,,,,6,,33,,0,,5,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.21,2013-06-21 00:00:00,QC,2013,6,21,13.6,,6.1,,21.1,,1.4,,1.4,,0,,,,8,,33,,0,,4.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.22,2013-06-22 00:00:00,QC,2013,6,22,15.2,,5,,25.3,,0,,0,,0,,,,26,,35,,0,,2.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.23,2013-06-23 00:00:00,QC,2013,6,23,17,,7.4,,26.6,,0,,0,,0,,,,20,,37,,0,,1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.24,2013-06-24 00:00:00,QC,2013,6,24,19.2,,12.8,,25.5,,0.4,,0.4,,0,,,,11,,33,,1.2,,0,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.25,2013-06-25 00:00:00,QC,2013,6,25,13.2,,9.4,,17,,0,,0,,0,,,,11,,44,,0,,4.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.26,2013-06-26 00:00:00,QC,2013,6,26,8.9,,2.5,,15.3,,0,T,0,T,0,,,,0,,0,,0,,9.1,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.27,2013-06-27 00:00:00,QC,2013,6,27,7.6,,2.6,,12.6,,0,T,0,T,0,,,,0,,0,,0,,10.4,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.28,2013-06-28 00:00:00,QC,2013,6,28,8.8,,4.1,,13.5,,2.6,,2.6,,0,,,,6,,32,,0,,9.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.29,2013-06-29 00:00:00,QC,2013,6,29,14.8,,10.1,,19.5,,16,,16,,0,,,,10,,32,,0,,3.2,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.6.30,2013-06-30 00:00:00,QC,2013,6,30,14.2,,8.5,,19.8,,0.2,,0.2,,0,,,,7,,35,,0,,3.8,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.7.1,2013-07-01 00:00:00,QC,2013,7,1,16.4,,7.7,,25,,0,,0,,0,,,,31,,43,,0,,1.6,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.7.2,2013-07-02 00:00:00,QC,2013,7,2,13.7,,6.2,,21.1,,0,,0,,0,,,,7,,43,,0,,4.3,,,,,
-64.47972222222222,48.77527777777778,GASPE A,7052601,7052601.2013.7.3,2013-07-03 00:00:00,QC,2013,7,3,15.9,,6.5,,25.2,,0,,0,,0,,,,8,,35,,0,,2.1,,,,,
